workload,run_idx,bytes_in,bytes_out,ops,total_time_sec
addressbook,1,4000000,4000000,1000000,0.013673
addressbook,2,4000000,4000000,1000000,0.014782
addressbook,3,4000000,4000000,1000000,0.013861
addressbook,4,4000000,4000000,1000000,0.014174
addressbook,5,4000000,4000000,1000000,0.013699
mapreduce,1,8000000,8000000,2000000,0.019099
mapreduce,2,8000000,8000000,2000000,0.019702
mapreduce,3,8000000,8000000,2000000,0.019600
mapreduce,4,8000000,8000000,2000000,0.018950
mapreduce,5,8000000,8000000,2000000,0.019037
telemetry,1,12000000,12000000,3000000,0.026371
telemetry,2,12000000,12000000,3000000,0.024612
telemetry,3,12000000,12000000,3000000,0.025086
telemetry,4,12000000,12000000,3000000,0.026232
telemetry,5,12000000,12000000,3000000,0.026197
social,1,16000000,16000000,4000000,0.032692
social,2,16000000,16000000,4000000,0.032540
social,3,16000000,16000000,4000000,0.033327
social,4,16000000,16000000,4000000,0.033647
social,5,16000000,16000000,4000000,0.031867
trading,1,20000000,20000000,5000000,0.037514
trading,2,20000000,20000000,5000000,0.038745
trading,3,20000000,20000000,5000000,0.038032
trading,4,20000000,20000000,5000000,0.038943
trading,5,20000000,20000000,5000000,0.037522
sensor,1,24000000,24000000,6000000,0.043131
sensor,2,24000000,24000000,6000000,0.043568
sensor,3,24000000,24000000,6000000,0.045263
sensor,4,24000000,24000000,6000000,0.039882
sensor,5,24000000,24000000,6000000,0.043366
